timestamp,cidade,bairro,latitude,longitude,cep_geocoding,cep_viacep,viacep_url,status,resultado_text
2025-11-17 15:39:59,Belo Horizonte,Sagrada Familia,-19.9003321,-43.9237228,,,,OK,Latitude: -19.9003321 | Longitude: -43.9237228 | UF não identificado - não foi possível consultar ViaCEP.
2025-11-17 15:40:22,Belo Horizonte,Padre eustaquio,-19.9143045,-43.979356,,,,OK,Latitude: -19.9143045 | Longitude: -43.979356 | UF não identificado - não foi possível consultar ViaCEP.
